task;model;accuracy;f1_macro;run_timestamp;use_title;total_ticket;noise_config
categoria;LinearSVM;0,96875;0,967439703153989;2025-12-28 14:09:26;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;Naive Bayes;0,9166666666666666;0,9114825289250116;2025-12-28 14:09:26;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;LogisticRegression;0,8229166666666666;0,832039800995025;2025-12-28 14:09:26;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;LinearSVM;0,8333333333333334;0,844059470822914;2025-12-28 14:09:26;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;Naive Bayes;0,71875;0,7261294669382904;2025-12-28 14:09:26;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;LogisticRegression;0,9791666666666666;0,9796110534609324;2025-12-28 14:10:31;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;LinearSVM;0,9791666666666666;0,976539824969536;2025-12-28 14:10:31;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;Naive Bayes;0,9166666666666666;0,9208539293645677;2025-12-28 14:10:31;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;LogisticRegression;0,8333333333333334;0,8310149572649572;2025-12-28 14:10:31;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;LinearSVM;0,8645833333333334;0,8664192949907236;2025-12-28 14:10:31;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;Naive Bayes;0,6979166666666666;0,7026600691196965;2025-12-28 14:10:31;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
